,Accuracy,Clase,Precision,Recall,F1-Score,Cantidad
0,65.92888888888889,Avión,0.7324390243902439,0.6655585106382979,0.6973989781699954,4512
1,65.92888888888889,Coche,0.7846574095151377,0.768048128342246,0.7762639342416394,4488
2,65.92888888888889,Pájaro,0.6233683540273798,0.43822739480752015,0.514653699566303,4468
3,65.92888888888889,Gato,0.5428004535147393,0.4228306469419298,0.4753630383517438,4529
4,65.92888888888889,Ciervo,0.5688599091088717,0.6356811658202693,0.6004171011470282,4529
5,65.92888888888889,Perro,0.5705854579792257,0.53878733838609,0.5542306810364596,4486
6,65.92888888888889,Rana,0.684634448574969,0.7378143779212107,0.7102303160149973,4493
7,65.92888888888889,Caballo,0.6599705123479543,0.7957777777777778,0.7215393914970784,4500
8,65.92888888888889,Barco,0.7196316614420063,0.8169483985765125,0.7652083333333334,4496
9,65.92888888888889,Camión,0.673244341265235,0.773505223382974,0.7199007033512619,4499
